"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"expert-bird-22360","qx3qhcbo","expert-bird-22360","finished","-","maxa-schwarzer","","2020-06-08T05:22:34.000Z","7","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","1","deepnature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.75","1","","","84","5","1","256","true","0","10","false","","1","0.2","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","2000","1","0","standard","1","1","3","0.5","0","","","","","","","","1.9697563783051597","1.9697563783051597","2.2858598892783464","2.017908553036081","1.6058987637787052","0.16204640353613925","4732.65","4732.65","4786.05","2.5007179896290386","2.543318707618668","5646","4843.5","3339","1.4203217036701403","1.4445174444947897","2.9364402810304444","2.986463700234192","514.1759110460154","","1430.9","1430.9","1522","1455.5","1135","73.04402781884362","0.058549048499623314","","","416.39","","","","","","","416.39","","","","","","","","","","","100000","2.336808279407024","","","","","","0.24644264947418124","","","","","","0.8225687991283834","","1.3045172733709216","","","","","",""
"divine-wildflower-13089","66fa69kg","divine-wildflower-13089","finished","-","ankeshanand","nature encoder 64/32","2020-05-27T22:14:08.000Z","19105","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","","0","0","krull","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","88","","0","0","","0","","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","1.8151236757825524","2.9339342279312","1.8043128403811304","1.0983648793938932","0.38210376469919105","","4372.11","","","","5355","4458.5","1491","","","2.5986978922716624","","727.4927751531282","","","1395.8","1510","1445.5","699","138.50198554533435","0","","","","","","","","","","","","","","","","","","","","","100000","1.2718306927934289","","","","","","0.2525429097045213","","","","","","0","","0","","","","","",""
"ruby-serenity-20098","f91ekp42","ruby-serenity-20098","finished","-","maxa-schwarzer","","2020-06-02T03:33:28.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","q_l1","false","0","","0","true","0","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","","1","","","84","3","1","256","true","0","10","false","","0.5","0.5","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","64","0.5","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","447","","0","0","","0","0","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","1.805429222037893","2.2472623086666004","1.8195669236132777","1.2172545460655813","0.24477035161058705","","4193.43","","","","5328","4339.5","2007","","","2.431316159250586","","676.6366418544004","","","1446.83","1966","1460","938","173.43598559699194","0.06365077390591614","","","","","","","","","","","","","","","","","","","","","100000","3.045486710266769","","","","","","0.34481579063124956","","","","","","1.082534763403237","","1.0822236416205764","","","","","",""
"giddy-shadow-20092","noyfl8qd","giddy-shadow-20092","finished","-","maxa-schwarzer","","2020-06-02T03:33:15.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","q_l1","false","0","","0","true","0","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","","1","","","84","3","1","256","true","0","10","false","","0.5","0.5","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","64","0.5","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","446","","0","0","","0","0","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","1.9830475704764836","3.0672380832484","1.8680072346393384","1.3787338138030762","0.3687039506492066","","4152.97","","","","5663","4669","1967","","","2.3934145199063233","","1033.647845786949","","","1299.53","1558","1426","763","216.5199969979678","0.04325421818534378","","","","","","","","","","","","","","","","","","","","","100000","2.229152859650552","","","","","","0.24809732341784985","","","","","","1.1019057098641991","","0.7786249461688102","","","","","",""
"ancient-sky-15558","i889wxfo","ancient-sky-15558","finished","-","maxa-schwarzer","","2020-05-31T15:44:47.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","q_l1","false","0","","0","true","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2800000","100","100","1000","0.01","444","","0","0","","0","0","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","1.6219375251466264","2.557579425733598","1.4675883966224044","0.6476741585593828","0.3949676259147275","","4079.96","","","","5616","4041","1824","","","2.3250210772833726","","637.1132068949756","","","1466.64","2006","1455.5","728","210.66554155817695","0","","","","","","","","","","","","","","","","","","","","","100000","1.5787058146722617","","","","","","0.3054732295140624","","","","","","0","","0","","","","","",""
"desert-shape-13094","1d9tcm10","desert-shape-13094","finished","-","ankeshanand","nature encoder 64/64","2020-05-27T22:32:12.000Z","11666","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","","0","0","krull","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","444","","0","0","","0","","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","1.686634263730716","2.47309312278024","1.710088696774418","0.9488141858788818","0.31104133698681313","","4025.93","","","","6525","4330.5","1524","","","2.274407494145199","","1086.6675872133114","","","1340.01","2008","1430","742","257.4565398275989","0","","","","","","","","","","","","","","","","","","","","","100000","1.2061795216798783","","","","","","0.33664449905008076","","","","","","0","","0","","","","","",""
"glowing-sea-22692","26kitqe1","glowing-sea-22692","finished","-","maxa-schwarzer","","2020-06-08T22:17:14.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","1","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","10","10","1000","0.01","448","","0","0","","0","0","2000","1","0","standard","1","1","3","0.5","0","","","","","","","","1.900814784280612","1.900814784280612","2.4204088933805963","2.016832182893244","1.3136468590115014","0.4078784526800929","3969.6","3969.6","4184.7","1.891982449142401","2.063581970482649","5249","3867.5","2685","1.0745808790212958","1.172043497961033","2.221639344262295","2.4231381733021076","820.3984641623849","","1240.1","1240.1","1488","1191","1089","148.42065220177415","0.06088760793113615","","","345","","","","","","","345","","","","","","","","","","","100000","1.634762476527691","","","","","","0.29345776082985103","","","","","","0.5805606316149234","","0","","","","","",""
"skilled-shape-15559","4hcr2oek","skilled-shape-15559","finished","-","maxa-schwarzer","","2020-05-31T15:44:50.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","q_l1","false","0","","0","true","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2800000","100","100","1000","0.01","446","","0","0","","0","0","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","1.6414039372898142","2.497636532697087","1.5956832829754355","0.28758360936686406","0.4030944232913423","","3964.77","","","","5665","4198.5","30","","","2.2171147540983607","","1121.0374557078812","","","1327.38","2029","1437.5","221","239.77325872582205","0","","","","","","","","","","","","","","","","","","","","","100000","1.5653709313862023","","","","","","0.35143065568730236","","","","","","0","","0","","","","","",""
"eternal-firefly-12552","1m51fks8","eternal-firefly-12552","finished","-","ankeshanand","nature encoder 64/64","2020-05-27T18:51:50.000Z","6931","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","boxing","1","84","","0","0","false","boxing","1","27000","84","","0","84","0","","0","0","boxing","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","420","","0","0","","0","","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","0.8216124946005832","3.082500410738975","0.8551028800029256","-1.443217352470715","0.7871844436793273","","26.48","","","","62","26","-12","","","2.1983333333333333","","14.127618341390738","","","1781.75","1786","1782","1760","3.060637188560578","0","","","","","","","","","","","","","","","","","","","","","100000","3.2777254953980446","","","","","","0.8146896503567695","","","","","","0","","0","","","","","",""
"smooth-plasma-12565","23s02wet","smooth-plasma-12565","finished","-","ankeshanand","nature encoder 64/64","2020-05-27T18:51:57.000Z","11527","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","road_runner","1","84","","0","0","false","road_runner","1","27000","84","","0","84","0","","0","0","road_runner","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","420","","0","0","","0","","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","6.700218586643083","8.524091983674689","6.877768751235141","2.883138322078431","1.2200857289124665","","17090","","","","29800","17300","9600","","","2.180187655581796","","3852.518656671243","","","849.62","1049","842","678","41.72595834729263","0","","","","","","","","","","","","","","","","","","","","","100000","12.567579619562624","","","","","","0.8835548892945051","","","","","","0","","0","","","","","",""
